City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,talnakh,69.4865,88.3972,-23.99999999999997,98,33,1.93,RU,1701228560
124,aasiaat,68.7098,-52.8699,-9.379999999999995,68,97,8.63,GL,1701228560
125,shimanovsk,52.0,127.7,-15.859999999999957,57,19,2.58,RU,1701228561
126,puerto ayora,-0.7393,-90.3518,24.75,90,74,4.47,EC,1701228314
127,palestina,31.9216,35.2033,9.970000000000027,74,84,1.33,PS,1701228562
128,karratha,-20.7377,116.8463,31.200000000000045,33,0,5.73,AU,1701228562
129,roma,43.2128,-75.4557,-2.7999999999999545,86,100,7.72,US,1701228563
130,kalevala,65.2,31.1667,-3.839999999999975,88,100,8.94,RU,1701228564
131,aykhal,66.0,111.5,-15.539999999999964,94,100,7.27,RU,1701228566
132,ancud,-41.8697,-73.8203,10.930000000000007,91,91,7.05,CL,1701228568
133,longyearbyen,78.2186,15.6401,0.910000000000025,80,40,2.06,SJ,1701228307
134,la'ie,21.6477,-157.9253,27.980000000000018,81,28,4.21,US,1701228316
135,kavaratti,10.5669,72.642,28.54000000000002,73,93,3.77,IN,1701228570
136,haiku-pauwela,20.9219,-156.3051,25.02000000000004,80,40,4.12,US,1701228570
137,kermanshah,34.3142,47.065,1.5,93,40,3.09,IR,1701228570
138,santa fe,-31.6333,-60.7,26.660000000000025,82,0,0.89,AR,1701228573
139,nemuro,43.3236,145.575,1.4600000000000364,54,30,13.24,JP,1701228574
140,gamboula,4.1178,15.1393,20.810000000000002,96,100,1.17,CF,1701228577
141,mejit,10.2753,170.8646,27.510000000000048,74,31,7.91,MH,1701228578
142,katiola,8.1333,-5.1,23.480000000000018,88,95,1.29,CI,1701228578
143,sinjai,-5.1241,120.253,30.24000000000001,62,87,1.75,ID,1701228580
144,kasongo-lunda,-6.4667,16.8167,20.5,99,100,0.7,CD,1701228580
145,uturoa,-16.7333,-151.4333,26.680000000000007,80,76,9.45,PF,1701228205
146,berriane,32.8265,3.7669,15.450000000000045,35,100,3.39,DZ,1701228581
147,la ronge,55.1001,-105.2842,0.1400000000000432,64,0,4.63,CA,1701228581
148,campoverde,-8.4753,-74.8058,25.83000000000004,88,98,0.69,PE,1701228581
149,mont-dore,-22.2833,166.5833,31.99000000000001,65,95,3.36,NC,1701228581
150,aktau,43.65,51.2,0.32000000000005,71,4,5.42,KZ,1701228581
151,saint george,37.1041,-113.5841,11.340000000000032,37,0,0.45,US,1701228382
152,barra de santo antonio,-9.4047,-35.5072,23.600000000000023,74,6,2.37,BR,1701228555
153,makokou,0.5738,12.8642,21.05000000000001,98,100,1.0,GA,1701228582
154,saldanha,-33.0117,17.9442,12.03000000000003,79,0,5.89,ZA,1701228582
155,rongelap,11.1635,166.8941,27.79000000000002,76,74,9.75,MH,1701228582
156,norcasia,5.5778,-74.8852,22.189999999999998,88,100,1.49,CO,1701228582
157,vorgashor,67.5833,63.95,-10.819999999999993,91,100,2.6,RU,1701228582
158,susuman,62.7833,148.1667,-25.799999999999983,100,100,1.13,RU,1701228582
159,usinsk,65.9939,57.5281,-10.519999999999982,89,87,5.36,RU,1701228583
160,inongo,-1.95,18.2667,21.640000000000043,97,100,2.01,CD,1701228583
161,isangel,-19.55,169.2667,28.060000000000002,65,100,2.57,VU,1701228584
162,enewetak,11.3474,162.3373,27.74000000000001,77,100,9.44,MH,1701228249
163,letlhakane,-21.4167,25.5833,23.090000000000032,26,1,2.75,BW,1701228585
164,hsinchu,24.8036,120.9686,25.99000000000001,55,53,1.34,TW,1701228359
165,qarazhal,48.0078,70.7903,4.3799999999999955,58,99,4.97,KZ,1701228585
166,acarau,-2.8856,-40.12,26.370000000000005,80,73,5.86,BR,1701228585
167,nar'yan-mar,67.6713,53.087,-17.159999999999968,95,51,4.92,RU,1701228585
168,papao,-17.75,-149.55,27.82000000000005,83,89,11.09,PF,1701228585
169,iskateley,67.6803,53.1512,-17.20999999999998,95,57,4.92,RU,1701228586
170,moussoro,13.6408,16.4901,24.810000000000002,22,3,4.61,TD,1701228586
171,mount pearl,47.5166,-52.7813,3.9700000000000273,93,75,8.23,CA,1701228167
172,port macquarie,-31.4333,152.9167,24.32000000000005,78,47,9.24,AU,1701228367
173,afaahiti,-17.75,-149.2833,26.930000000000007,83,98,9.89,PF,1701228586
174,aguas vermelhas,-15.7472,-41.46,17.83000000000004,93,6,1.5,BR,1701228588
175,toamasina,-18.1667,49.3833,22.0,94,20,1.54,MG,1701228589
176,invercargill,-46.4,168.35,11.120000000000005,70,25,6.26,NZ,1701228400
177,port mathurin,-19.6833,63.4167,25.05000000000001,71,10,3.98,MU,1701228589
178,anadyr,64.75,177.4833,-6.71999999999997,93,40,0.0,RU,1701228589
179,springbok,-29.6643,17.8865,9.410000000000025,58,0,2.75,ZA,1701228589
180,gisborne,-38.6533,178.0042,14.150000000000034,84,79,5.83,NZ,1701228589
181,nova sintra,14.8667,-24.7167,21.629999999999995,73,10,5.88,CV,1701228590
